state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Madhya Pradesh,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),79.6,68.3,70.9,65.1
Madhya Pradesh,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,31.6,35.5,34.5,14.9
Madhya Pradesh,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,54.2,59.6,58.2,21.6
Madhya Pradesh,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,45.3,35.7,38.1,46
Madhya Pradesh,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,8.9,6.2,6.9,na
Madhya Pradesh,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,4.4,5.1,4.8,na
Madhya Pradesh,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,8.2,6,6.6,na
Madhya Pradesh,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,37.5,43.6,42,50
Madhya Pradesh,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,22,27.1,25.8,35
Madhya Pradesh,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,8.1,9.6,9.2,12.6
Madhya Pradesh,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,36.5,45,42.8,60
Madhya Pradesh,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),20.6,31.8,28.3,41.7
Madhya Pradesh,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),22.5,31.1,28.4,41.6
Madhya Pradesh,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),23.8,9.1,13.6,7.6
Madhya Pradesh,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),17.6,7.8,10.9,4.3
Madhya Pradesh,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,66.3,69.9,68.9,74
Madhya Pradesh,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,49.7,53.7,52.4,55.8
Madhya Pradesh,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,49.2,56.4,54.6,57.9
Madhya Pradesh,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,49.7,53.8,52.5,55.9
Madhya Pradesh,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,21.4,27.4,25.5,25.4
Madhya Pradesh,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,6.2,4.6,5.1,na
Madhya Pradesh,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3,1.7,2.1,na
Madhya Pradesh,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,8.1,6,6.7,na
Madhya Pradesh,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,3.9,2.4,2.9,na
Madhya Pradesh,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,6.5,5.9,6.1,na
Madhya Pradesh,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.4,1.1,1.2,na
Madhya Pradesh,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.7,0.6,0.6,na
Madhya Pradesh,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,10.2,7.3,8.2,na
Madhya Pradesh,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,2.5,1.8,2,na
Madhya Pradesh,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,1.2,0.5,0.7,na
Madhya Pradesh,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,29.1,21.8,24,na
Madhya Pradesh,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,10.9,10.2,10.4,na
Madhya Pradesh,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,15.2,11,12.3,na
Madhya Pradesh,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),31.1,12.1,18.1,20.3
Madhya Pradesh,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),39.7,24.4,29.3,38.9
Madhya Pradesh,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),65.2,38.2,46.8,37.8
Madhya Pradesh,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),81.4,64.8,70.1,67.1
Madhya Pradesh,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),87.7,80.8,82.8,68.5
Madhya Pradesh,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),22.1,33.5,29.9,32.8
Madhya Pradesh,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),27.3,35.4,33,45.7
Madhya Pradesh,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),2.5,3.6,3.3,na
Madhya Pradesh,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),41,44.7,43.5,na
Madhya Pradesh,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),50.1,31.4,37.3,8.9
Madhya Pradesh,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),49.5,19.1,28.7,na
Madhya Pradesh,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),65.4,26.4,37.6,na
Madhya Pradesh,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),6.5,12.1,10.4,16
Madhya Pradesh,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),53.1,62.4,59.5,68.5
Madhya Pradesh,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),0.6,2.1,1.6,2.1
Madhya Pradesh,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),28.3,30.3,29.6,30.8
Madhya Pradesh,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),45.6,36.9,38.5,na
Madhya Pradesh,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),36.6,37.4,37.2,na
Maharashtra,23,#N/A,#N/A,44.8,55.9,50.7,51.1
Maharashtra,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,85.3,70.3,77.4,70.3
Maharashtra,2,Population below age 15 years (%),Population and Household Profile ,23.3,25.6,24.5,30.6
Maharashtra,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,935,967,952,972
Maharashtra,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,920,927,924,867
Maharashtra,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,95.8,94.6,95.1,80
Maharashtra,6,Households with electricity (%),Population and Household Profile ,95.1,90,92.5,83.5
Maharashtra,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,97.7,85.6,91.5,92.7
Maharashtra,8,Households using improved sanitation facility (%),Population and Household Profile ,59.8,44.2,51.9,31.6
Maharashtra,9,Households using clean fuel for cooking (%),Population and Household Profile ,87.1,33.7,59.9,43.9
Maharashtra,10,Households using iodized salt (%),Population and Household Profile ,98.5,94.4,96.4,74.2
Maharashtra,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,16.2,13.8,15,7.1
Maharashtra,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,85.9,74.8,80.3,70.3
Maharashtra,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,94.4,91.2,92.8,88.3
Maharashtra,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,51.6,32.6,42,30.7
Maharashtra,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,18.8,31.5,25.1,39
Maharashtra,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,16,17.5,16.7,20.7
Maharashtra,17,Total fertility rate (children per woman),Marriage and Fertility,1.7,2.1,1.9,2.1
Maharashtra,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,6,10.4,8.3,13.8
Maharashtra,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",23,24,24,37
Maharashtra,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",27,30,29,46
Maharashtra,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),63.9,65.5,64.8,66.9
Maharashtra,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),60.7,64.2,62.6,64.9
Maharashtra,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.2,0.7,0.4,2.1
Maharashtra,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),2.3,1.1,1.6,3
Maharashtra,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),3.1,1.7,2.4,2.4
Maharashtra,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),9.9,4.6,7.1,6.2
Maharashtra,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),11,8.6,9.7,10
Maharashtra,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),4.4,4.2,4.3,5.3
Maharashtra,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,17.8,19.3,18.5,8.5
Maharashtra,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,40.9,32.4,36.1,32.6
Maharashtra,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),68.7,66.8,67.6,62.1
Maharashtra,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),75.6,69.4,72.2,59.8
Maharashtra,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),90,90.7,90.4,85.1
Maharashtra,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),43.9,37.9,40.6,18.6
Maharashtra,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),35.7,29.6,32.4,14.7
Maharashtra,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),88.8,92.7,90.9,na
Maharashtra,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),82,75.7,78.5,57.1
Maharashtra,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),6.2,11,8.7,na
Maharashtra,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),"3,257","3,653","3,487",na
Maharashtra,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),4.9,6.9,6.4,0.7
Maharashtra,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),29.3,31.6,30.5,na
Maharashtra,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),94.8,86.7,90.3,64.6
Maharashtra,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),46.4,50.9,48.9,26.5
Maharashtra,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),2.3,4.6,3.6,4.6
Maharashtra,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),95,88.1,91.1,68.8
Maharashtra,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),26.3,15.2,20.1,11.6
Maharashtra,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),38.4,27.5,33.1,22.3
Maharashtra,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),16.6,10.5,13.1,11.6
Maharashtra,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,55.8,56.7,56.3,58.8
Maharashtra,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,90.3,89.8,90,95.3
Maharashtra,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,64.4,69.1,67,73.4
Maharashtra,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,75,74.8,74.9,76.1
Maharashtra,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,82.6,82.9,82.8,84.7
Maharashtra,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,57.3,63.5,60.8,na
Maharashtra,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,72.2,69.2,70.5,23.3
Maharashtra,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,78.5,92.3,86.2,79.6
Maharashtra,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,21.3,7.6,13.6,18.2
Maharashtra,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),6.8,9.9,8.5,8.1
Maharashtra,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),63.8,58.8,60.5,38.5
Maharashtra,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),15.2,11.9,13,na
Maharashtra,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),75.6,78.7,77.6,78
Maharashtra,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),2.5,2.2,2.4,4.6
Maharashtra,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),87,83,84.7,79.6
Maharashtra,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,55,59.5,57.5,51.8
Maharashtra,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,51.3,60.6,56.6,53
Maharashtra,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,48.8,38.8,43.3,45.5
Maharashtra,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,6.9,4.1,5.3,na
Maharashtra,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,13.8,10,12.2,na
Maharashtra,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,8.5,5,6.5,na
Maharashtra,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,29.3,38.4,34.4,46.3
Maharashtra,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,24.9,26.1,25.6,16.5
Maharashtra,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,9.5,9.4,9.4,5.2
Maharashtra,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,30.7,40,36,37
Maharashtra,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),16.8,30,23.5,36.2
Maharashtra,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),14.5,23.7,19.1,33.5
Maharashtra,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),32.4,14.6,23.4,14.5
Maharashtra,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),31.2,16.4,23.8,11.9
Maharashtra,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,53.6,54,53.8,63.4
Maharashtra,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,48.2,47.7,47.9,48
Maharashtra,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,48.5,49.9,49.3,57.8
Maharashtra,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,48.2,47.8,48,48.4
Maharashtra,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,15.5,19.7,17.6,16.8
Maharashtra,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.7,4.4,5,na
Maharashtra,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.7,1.8,2.3,na
Maharashtra,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,6.5,5.4,5.9,na
Maharashtra,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,2.6,2.4,2.5,na
Maharashtra,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,7.6,6.6,7.1,na
Maharashtra,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.4,1.4,1.4,na
Maharashtra,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.5,0.7,0.6,na
Maharashtra,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,12.1,11,11.5,na
Maharashtra,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,4.4,2.7,3.6,na
Maharashtra,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,0.8,0.8,0.8,na
Maharashtra,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,40.5,44.4,42.5,na
Maharashtra,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,22.4,21.7,22.1,na
Maharashtra,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,17.6,15.3,16.4,na
Maharashtra,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),37.8,22.2,30,29.5
Maharashtra,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),47.4,41.3,44.4,52.5
Maharashtra,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),74.7,61.2,67.9,46.9
Maharashtra,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),90,82.3,86.2,80.4
Maharashtra,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),89.3,89.4,89.3,84.9
Maharashtra,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),22.2,35.5,28.9,35.2
Maharashtra,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),16.4,26.2,21.4,30.7
Maharashtra,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),2.3,3.4,2.9,na
Maharashtra,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),35.2,33.3,34.3,na
Maharashtra,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),52,38.7,45.3,20.3
Maharashtra,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),60.4,30.9,45.6,na
Maharashtra,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),77,55.7,66.1,na
Maharashtra,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),4.2,7.4,5.8,10.5
Maharashtra,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),33.9,39.3,36.5,48.3
Maharashtra,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),0.2,0.2,0.2,0.4
Maharashtra,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),22.8,18,20.5,24
Maharashtra,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),26.3,28.9,28,na
Maharashtra,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),26.7,35.1,31.1,na
Manipur,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,85.8,79,81.7,70
Manipur,2,Population below age 15 years (%),Population and Household Profile ,27.5,31.4,29.9,33.3
Manipur,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,"1,081","1,030","1,049","1,070"
Manipur,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,962,962,962,"1,014"
Manipur,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,74.8,59.7,64.8,30.4
Manipur,6,Households with electricity (%),Population and Household Profile ,95.9,90.1,92.4,87
Manipur,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,47.1,38,41.6,52.1
Manipur,8,Households using improved sanitation facility (%),Population and Household Profile ,47.8,51.3,49.9,30.2
Manipur,9,Households using clean fuel for cooking (%),Population and Household Profile ,63.3,28,42.1,34.9
Manipur,10,Households using iodized salt (%),Population and Household Profile ,99.7,99.4,99.5,98.8
Manipur,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,3.5,3.7,3.6,6.7
Manipur,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,89.9,81.7,85,72.6
Manipur,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,97.4,95.2,96,91.5
Manipur,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,57,38.4,45.9,33.8
Manipur,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,11,14.3,13.1,12.7
Manipur,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,17.3,22.6,20.6,16
Manipur,17,Total fertility rate (children per woman),Marriage and Fertility,2.1,2.9,2.6,2.8
Manipur,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,6.1,8.2,7.4,7.3
Manipur,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",16,25,22,30
Manipur,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",18,30,26,42
Manipur,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),25,22.7,23.6,48.7
Manipur,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),12.9,12.6,12.7,23.6
Manipur,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.2,0,0.1,0.5
Manipur,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),3.3,4,3.7,5.3
Manipur,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),4.1,4.3,4.2,5.3
Manipur,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),1.6,1.2,1.3,4.1
Manipur,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),29.8,30.2,30.1,15.6
Manipur,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),11.8,13.3,12.7,5
Manipur,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,8.7,8.8,8.7,4.6
Manipur,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,53,43.4,46.9,46.8
Manipur,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),84.9,72.6,77,64.5
Manipur,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),81.7,62,69,54.1
Manipur,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),92,87.1,88.8,79.2
Manipur,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),51,32.7,39.2,6.8
Manipur,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),45.1,27.8,33.9,5.8
Manipur,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),30.4,34.2,32.8,na
Manipur,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),77.7,57.4,64.6,45.5
Manipur,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),21.2,30,26.2,na
Manipur,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),"10,743","9,609","10,076",na
Manipur,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),0,0.4,0.4,0.5
